query_id,project_id,dataset_id,table_id,run_date,bytes_processed,used_partition_filter,user_email
job_000001,empresa-dw-prod,clinical_ops,game_yourself_001,2026-06-25,6699778354,True,tiffany14@empresa.com
job_000003,empresa-dw-prod,finance_reporting,city_indicate_002,2026-06-28,21654637,True,rebekah53@empresa.com
job_000005,empresa-dw-prod,finance_reporting,rather_anything_003,2026-06-30,1354550687,True,dana93@empresa.com
job_000006,empresa-dw-prod,finance_reporting,rather_anything_003,2026-06-30,1532383693,True,lorettasingh@empresa.com
job_000007,empresa-dw-prod,finance_reporting,rather_anything_003,2026-06-29,1580033242,True,jamesvasquez@empresa.com
job_000008,empresa-dw-prod,finance_reporting,rather_anything_003,2026-06-25,1690262167,True,mayokristy@empresa.com
job_000010,empresa-dw-prod,finance_reporting,baby_tend_004,2026-06-02,94606960,True,sgreen@empresa.com
job_000012,empresa-dw-prod,growth,north_between_005,2026-06-01,1166455247,True,seth55@empresa.com
job_000013,empresa-dw-prod,growth,north_between_005,2026-06-11,1086018580,True,robinsonjeremy@empresa.com
job_000015,empresa-dw-prod,growth,history_pass_006,2026-06-06,99223852,True,matthewwebb@empresa.com
job_000017,empresa-dw-prod,finance_reporting,article_where_007,2026-06-23,6041421,True,mendozadenise@empresa.com
job_000019,empresa-dw-prod,marketing_analytics,movement_difficult_008,2026-06-12,538432801,True,davenportdavid@empresa.com
job_000020,empresa-dw-prod,marketing_analytics,movement_difficult_008,2026-06-12,501881260,True,wcasey@empresa.com
job_000023,empresa-dw-prod,marketing_analytics,leader_kid_010,2026-06-25,2926345170,True,timothywhite@empresa.com
job_000024,empresa-dw-prod,marketing_analytics,leader_kid_010,2026-06-13,775469577,True,christopher67@empresa.com
job_000025,empresa-dw-prod,marketing_analytics,leader_kid_010,2026-07-01,1161386859,True,fpaul@empresa.com
job_000026,empresa-dw-prod,marketing_analytics,leader_kid_010,2026-06-07,232369201,True,georgemartinez@empresa.com
job_000027,empresa-dw-prod,marketing_analytics,leader_kid_010,2026-06-16,2492472790,True,brittanymarshall@empresa.com
job_000028,empresa-dw-prod,marketing_analytics,leader_kid_010,2026-06-05,1836123922,True,cherylcarlson@empresa.com
job_000029,empresa-dw-prod,marketing_analytics,leader_kid_010,2026-06-20,1903381384,True,wsandoval@empresa.com
job_000031,empresa-dw-prod,marketing_analytics,available_effect_011,2026-06-01,303395479,True,amyanderson@empresa.com
job_000033,empresa-dw-prod,marketing_analytics,believe_ok_012,2026-06-06,38617160,True,lloydjessica@empresa.com
job_000036,empresa-dw-prod,logistics,the_others_014,2026-06-29,1951617891,True,rosesarah@empresa.com
job_000037,empresa-dw-prod,logistics,the_others_014,2026-06-20,903492258,True,mdowns@empresa.com
job_000038,empresa-dw-prod,logistics,the_others_014,2026-06-03,651255983,True,anthonylewis@empresa.com
job_000039,empresa-dw-prod,logistics,the_others_014,2026-06-03,2767997117,True,kathrynnguyen@empresa.com
job_000040,empresa-dw-prod,logistics,the_others_014,2026-06-27,2249108889,True,dflowers@empresa.com
job_000041,empresa-dw-prod,logistics,the_others_014,2026-06-07,275408579,True,rachael98@empresa.com
job_000043,empresa-dw-prod,finance_reporting,candidate_yourself_015,2026-06-17,2114225673,True,gwilcox@empresa.com
job_000044,empresa-dw-prod,finance_reporting,candidate_yourself_015,2026-06-26,1975850937,True,amandamills@empresa.com
job_000045,empresa-dw-prod,finance_reporting,candidate_yourself_015,2026-06-23,503876147,True,salaskimberly@empresa.com
job_000046,empresa-dw-prod,finance_reporting,candidate_yourself_015,2026-06-17,1995466144,True,parsonsedward@empresa.com
job_000047,empresa-dw-prod,finance_reporting,candidate_yourself_015,2026-06-15,962591867,True,thomashardy@empresa.com
job_000048,empresa-dw-prod,finance_reporting,candidate_yourself_015,2026-06-09,1788315696,True,nguyenapril@empresa.com
job_000049,empresa-dw-prod,finance_reporting,candidate_yourself_015,2026-06-08,821600610,True,gmueller@empresa.com
job_000050,empresa-dw-prod,finance_reporting,candidate_yourself_015,2026-06-21,1085798582,True,wrightjoshua@empresa.com
job_000052,empresa-dw-prod,growth,dog_professor_016,2026-06-01,46119547,True,romeroanna@empresa.com
job_000054,empresa-dw-prod,logistics,product_pass_017,2026-06-27,58797005,True,ramoscheyenne@empresa.com
job_000056,empresa-dw-prod,growth,yourself_assume_018,2026-06-28,895275849,True,heatherchavez@empresa.com
job_000057,empresa-dw-prod,growth,yourself_assume_018,2026-06-17,437979368,True,promero@empresa.com
job_000059,empresa-dw-prod,logistics,part_pay_019,2026-06-11,45879112,True,sandra37@empresa.com
job_000060,empresa-dw-prod,logistics,part_pay_019,2026-06-23,243585633,True,robertlong@empresa.com
job_000062,empresa-dw-prod,growth,industry_appear_020,2026-06-13,450807495,True,charles36@empresa.com
job_000063,empresa-dw-prod,growth,industry_appear_020,2026-06-04,7718326687,False,lewiskevin@empresa.com
job_000065,empresa-dw-prod,clinical_ops,do_any_021,2026-06-04,12297559228,False,princeeric@empresa.com
job_000066,empresa-dw-prod,clinical_ops,do_any_021,2026-06-28,12940639820,False,douglas27@empresa.com
job_000067,empresa-dw-prod,clinical_ops,do_any_021,2026-06-11,1175324818,True,juliedavis@empresa.com
job_000068,empresa-dw-prod,clinical_ops,do_any_021,2026-06-24,953326457,True,qmartin@empresa.com
job_000069,empresa-dw-prod,clinical_ops,do_any_021,2026-06-11,15563768724,False,evanreynolds@empresa.com
job_000071,empresa-dw-prod,finance_reporting,onto_town_022,2026-06-18,3331184705,True,mmorgan@empresa.com
job_000072,empresa-dw-prod,finance_reporting,onto_town_022,2026-06-04,3300912972,True,lucas50@empresa.com
job_000073,empresa-dw-prod,finance_reporting,onto_town_022,2026-06-07,57951733898,False,angela70@empresa.com
job_000075,empresa-dw-prod,logistics,cell_figure_023,2026-06-25,1599131909,True,nrivera@empresa.com
job_000076,empresa-dw-prod,logistics,cell_figure_023,2026-06-01,781934065,True,william11@empresa.com
job_000077,empresa-dw-prod,logistics,cell_figure_023,2026-06-04,1145366316,True,teresagarcia@empresa.com
job_000078,empresa-dw-prod,logistics,cell_figure_023,2026-06-09,156006638,True,joseph24@empresa.com
job_000079,empresa-dw-prod,logistics,cell_figure_023,2026-06-06,1108901967,True,loriatkinson@empresa.com
job_000080,empresa-dw-prod,logistics,cell_figure_023,2026-06-18,986810351,True,richard88@empresa.com
job_000081,empresa-dw-prod,logistics,cell_figure_023,2026-06-10,1094019652,True,fgraves@empresa.com
job_000082,empresa-dw-prod,logistics,cell_figure_023,2026-06-02,1981126714,True,brian26@empresa.com
job_000083,empresa-dw-prod,logistics,cell_figure_023,2026-06-20,601469683,True,adamsandre@empresa.com
job_000085,empresa-dw-prod,clinical_ops,kind_charge_024,2026-06-02,20079133,True,solischristopher@empresa.com
